name,date,tempmax,tempmin,avg_temp,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy
zhengzhou,2017/9/1,25,18,22.3,18.8,81.5,0,10.8,135.6,1012.9,78.9,90.8,7.8
zhengzhou,2017/9/2,25,19,21.6,15.9,73.3,12.7,14.4,121.8,1012.5,89.5,80.2,7.1
zhengzhou,2017/9/3,25,19,21.2,17.8,81.6,3,10.8,14.5,1013,94.8,83.2,7.2
zhengzhou,2017/9/4,22.5,19,20.8,19.8,94.6,1.1,10.8,25.4,1012.2,76.8,55,4.7
zhengzhou,2017/9/5,25,20,22.1,20.9,93.1,3,10.8,272.4,1011.8,90.5,45.4,3.9
zhengzhou,2017/9/6,28.7,19.8,23.4,20.1,83.1,6,10.8,240.7,1010.6,50.8,231.7,19.9
zhengzhou,2017/9/7,33.2,18,26,17.8,66,0,18,207.8,1008.6,1.7,264.2,23
zhengzhou,2017/9/8,31,18,24.9,19.2,73.1,0,10.8,165.5,1009.8,64.8,174.6,14.9
zhengzhou,2017/9/9,26.8,17,21.8,18.8,83.9,7.8,18,285.6,1011.3,73.9,87.6,7.4
zhengzhou,2017/9/10,22,17,19.3,18.1,93,8.9,18,348.8,1011.6,75.4,63.9,5.6
zhengzhou,2017/9/11,29,17,22.9,18.5,78.9,0.2,7.2,192.9,1012.9,5.7,244.8,21.2
zhengzhou,2017/9/12,30.5,17.7,24.1,18.2,73.4,0,9,177,1016.5,4.2,253.7,21.8
zhengzhou,2017/9/13,30,18.3,24,17.3,69.4,0,18,105,1018.5,29.1,214.4,18.5
zhengzhou,2017/9/14,28,18,23,15.1,64.5,0,10.8,118.4,1018.2,37.2,235.1,20.4
zhengzhou,2017/9/15,28.3,17,23.5,15.3,62.5,0,10.8,111,1016.9,41,237.7,20.6
zhengzhou,2017/9/16,28.2,20,23.7,18.3,73.7,0,7.2,279.1,1014.9,21.7,186.2,16.2
zhengzhou,2017/9/17,30,18,23.8,16.6,68.5,0,10.8,251.8,1012,9.2,238.3,20.6
zhengzhou,2017/9/18,32,19,25.7,16.7,61.6,0,10.8,210.9,1008.8,38.4,234.1,20.2
zhengzhou,2017/9/19,30.3,21,25.8,17.2,63.3,0,18,1.8,1009.7,32.3,184.1,16
zhengzhou,2017/9/20,30.3,20,25.2,14.9,55.7,0,10.8,40.2,1012.8,17.2,235.4,20.3
zhengzhou,2017/9/21,30.3,21,24.9,17.2,64.8,0,14.4,184.8,1011.4,20.7,214.3,18.5
zhengzhou,2017/9/22,31,19,25.3,16.5,61.6,0,14.4,223.1,1010.7,45.3,207.2,17.8
zhengzhou,2017/9/23,31.2,20,25.7,17.2,63.6,0,14.4,177.1,1011.8,40.8,222.5,19.2
zhengzhou,2017/9/24,25.5,19,22.6,19.8,85,0,9,140.2,1011.1,40.5,137.3,11.8
zhengzhou,2017/9/25,22.3,21,21.4,21,97.2,13.1,18,22.8,1010.7,82,14.4,1.1
zhengzhou,2017/9/26,22.2,20,20.9,20.3,96.3,7.2,18,329.9,1011.6,74.7,46.8,4.1
zhengzhou,2017/9/27,21.5,18,19.4,16.5,84.2,1.6,18,354.1,1015.8,80.6,53.2,4.7
zhengzhou,2017/9/28,24,14,19,15.4,81.1,0,21.6,37.4,1016.8,25.7,224.8,19.4
zhengzhou,2017/9/29,26,18,21,16.6,77.4,0,14.4,185.2,1014.9,27.9,149.9,13
zhengzhou,2017/9/30,22.6,16,18.9,17.4,91.8,11,10.8,150.7,1014.1,46.1,163.9,14.3
zhengzhou,2017/10/1,21.5,17,19.5,18.8,95.9,7.2,12.7,330.1,1011.8,74.6,124.1,10.8
zhengzhou,2017/10/2,25.5,17.2,21.5,17.6,79.1,0.6,28.8,21.8,1017.4,73.5,130,11.3
zhengzhou,2017/10/3,17,11,12.6,11,90.2,20,32.4,20.2,1027.4,83.1,31.3,2.6
zhengzhou,2017/10/4,12.2,11,11.6,10.2,91.3,15.5,14.4,11.1,1028.6,75.8,31.9,2.6
zhengzhou,2017/10/5,14.2,11.8,13,11.4,90.2,0.3,12.6,81.5,1022.3,82,55.7,4.7
